Dataset,Model,Resampling,Threshold,Train_Size,Train_Qt_Class_0,Train_Qt_Class_1,Test_Size,Test_Qt_Class_0,Test_Qt_Class_1,Feature,N_Terms,Tp,Fp,Tn,Fn,Acc_0,Acc_1,Balanced_Acc,Precision,Recall,Fmeasure
Eclipse,svm,cv52,16,5803,3555,2248,1934,1185,749,Description,200,1140,697,45,52,0.620577027762657,0.463917525773196,0.542247276767926,0.620577027762657,0.956375838926175,0.752723671178607
Eclipse,svm,cv52,20,5804,3702,2102,1933,1233,700,Description,200,1225,680,8,20,0.643044619422572,0.285714285714286,0.464379452568429,0.643044619422572,0.983935742971888,0.777777777777778
Eclipse,svm,cv52,24,5804,3861,1943,1933,1286,647,Description,200,1283,642,3,5,0.666493506493506,0.375,0.520746753246753,0.666493506493506,0.99611801242236,0.798630563336446
Eclipse,svm,cv52,28,5804,3977,1827,1933,1325,608,Description,200,1322,602,3,6,0.687110187110187,0.333333333333333,0.51022176022176,0.687110187110187,0.995481927710843,0.813038130381304
Eclipse,svm,cv52,32,5804,4085,1719,1933,1361,572,Description,200,1361,566,0,6,0.706279190451479,0,0.35313959522574,0.706279190451479,0.995610826627652,0.826350941105039
Eclipse,svm,cv52,64,5803,4612,1191,1934,1537,397,Description,200,1537,397,0,0,0.794725956566701,NA,NA,0.794725956566701,1,0.885623739556324
Eclipse,svm,cv52,96,5803,4867,936,1934,1622,312,Description,200,1622,312,0,0,0.838676318510858,NA,NA,0.838676318510858,1,0.912260967379078
Eclipse,svm,cv52,128,5803,5055,748,1934,1685,249,Description,200,1685,249,0,0,0.871251292657704,NA,NA,0.871251292657704,1,0.931196463111357
Eclipse,svm,cv52,160,5803,5181,622,1934,1727,207,Description,200,1727,207,0,0,0.892967942088935,NA,NA,0.892967942088935,1,0.943458071565146
Eclipse,svm,cv52,192,5804,5268,536,1933,1755,178,Description,200,1755,178,0,0,0.907915157785825,NA,NA,0.907915157785825,1,0.95173535791757
Eclipse,svm,cv52,224,5804,5367,437,1933,1788,145,Description,200,1788,145,0,0,0.924987066735644,NA,NA,0.924987066735644,1,0.961031980650363
Eclipse,svm,cv52,256,5804,5429,375,1933,1809,124,Description,200,1809,124,0,0,0.93585100879462,NA,NA,0.93585100879462,1,0.966862640299305
Eclipse,svm,cv52,288,5803,5475,328,1934,1825,109,Description,200,1825,109,0,0,0.94364012409514,NA,NA,0.94364012409514,1,0.971002926310189
Eclipse,svm,cv52,320,5803,5521,282,1934,1840,94,Description,200,1840,94,0,0,0.951396070320579,NA,NA,0.951396070320579,1,0.975092739798622
Eclipse,svm,cv52,352,5804,5571,233,1933,1856,77,Description,200,1856,77,0,0,0.960165545783756,NA,NA,0.960165545783756,1,0.979678015307469
Eclipse,svm,cv52,384,5803,5607,196,1934,1869,65,Description,200,1869,65,0,0,0.966390899689762,NA,NA,0.966390899689762,1,0.982908230344465
Eclipse,svm,cv52,416,5803,5635,168,1934,1878,56,Description,200,1878,56,0,0,0.971044467425026,NA,NA,0.971044467425026,1,0.985309548793284
Eclipse,svm,cv52,448,5804,5667,137,1933,1888,45,Description,200,1888,45,0,0,0.976720124159338,NA,NA,0.976720124159338,1,0.988222978277938
Eclipse,svm,cv52,480,5803,5683,120,1934,1894,40,Description,200,1894,40,0,0,0.979317476732161,NA,NA,0.979317476732161,1,0.989550679205852
Eclipse,svm,cv52,512,5804,5697,107,1933,1898,35,Description,200,1898,35,0,0,0.981893429901707,NA,NA,0.981893429901707,1,0.990864004176455
Eclipse,knn,bootstrap,4,5952,2595,3357,1983,865,1118,Description_Summary,200,302,302,563,816,0.5,0.40826686004351,0.454133430021755,0.5,0.270125223613596,0.35075493612079
