dataset,classifier,resampling,balancing,threshold,fixed_threshold,train_size,train_size_class_0,train_size_class_1,test_size,test_size_class_0,test_size_class_1,feature,n_term,tp,fp,tn,fn,acc_class_0,acc_class_1,balanced_acc,precision,recall,fmeasure
Eclipse,knn,boot,smote,28,64,9344,5250,4094,3113,1749,1364,short_long_description,200,607,190,1142,1174,0.7616060225846926,0.4930915371329879,0.6273487798588402,0.7616060225846926,0.34081976417742843,0.47090768037238173
Eclipse,knn,boot,unbalanced,28,64,7297,5250,2047,2431,1749,682,short_long_description,200,1498,574,251,108,0.722972972972973,0.6991643454038997,0.7110686591884363,0.722972972972973,0.9327521793275217,0.814573137574769
Eclipse,knn,boot,custom,32,64,4094,2047,2047,1364,682,682,short_long_description,200,240,210,442,472,0.5333333333333333,0.48358862144420134,0.5084609773887674,0.5333333333333333,0.33707865168539325,0.41308089500860584
Eclipse,knn,boot,downsample,32,64,4094,2047,2047,1364,682,682,short_long_description,200,240,210,442,472,0.5333333333333333,0.48358862144420134,0.5084609773887674,0.5333333333333333,0.33707865168539325,0.41308089500860584
Eclipse,knn,boot,smote,32,64,9485,5391,4094,3161,1797,1364,short_long_description,200,674,227,1123,1137,0.7480577136514983,0.49690265486725665,0.6224801842593775,0.7480577136514983,0.372170071783545,0.4970501474926253
Eclipse,knn,boot,unbalanced,32,64,7438,5391,2047,2479,1797,682,short_long_description,200,1505,551,292,131,0.7320038910505836,0.6903073286052009,0.7111556098278923,0.7320038910505836,0.9199266503667481,0.8152762730227519
Eclipse,knn,boot,custom,36,64,4094,2047,2047,1364,682,682,short_long_description,200,257,220,425,462,0.5387840670859538,0.4791431792559188,0.5089636231709364,0.5387840670859538,0.3574408901251738,0.4297658862876254
Eclipse,knn,boot,downsample,36,64,4094,2047,2047,1364,682,682,short_long_description,200,257,220,425,462,0.5387840670859538,0.4791431792559188,0.5089636231709364,0.5387840670859538,0.3574408901251738,0.4297658862876254
Eclipse,knn,boot,smote,36,64,9629,5535,4094,3209,1845,1364,short_long_description,200,682,197,1163,1167,0.7758816837315131,0.49914163090128755,0.6375116573164004,0.7758816837315131,0.36884802595997834,0.5
Eclipse,knn,boot,unbalanced,36,64,7582,5535,2047,2527,1845,682,short_long_description,200,1653,596,192,86,0.7349933303690529,0.6906474820143885,0.7128204061917207,0.7349933303690529,0.9505462909718229,0.828986960882648
